Turbine, Location, Task, Cost, Duration, Size, Production
0,[(54.95334, 12.46671), 0, 0, 0, 0, 0]
1,[(55.028104301875, 12.779513291016), 'Electrics', 6300.0, 3, 12, 0.2]
2,[(55.016854418444, 12.77313), 'Hydraulics', 6200.0, 3, 14, 0.3]
3,[(55.003387032819, 12.77015), 'Electrics', 6300.0, 3, 12, 0.2]
4,[(54.99236, 12.77152), 'Repair', 5400.0, 4, 11, 0.15]
5,[(54.98211, 12.76328), 'Electrics', 6300.0, 3, 12, 0.2]
6,[(55.037750907567, 12.787749873047), 'Blades', 38000.0, 10, 90, 0.05]
7,[(55.042085465692, 12.814339746094), 'Repair', 5400.0, 4, 11, 0.15]
8,[(55.05109, 12.84455), 'Gearbox', 63500.0, 18, 32, 0.0]
9,[(55.03614, 12.84318), 'Hydraulics', 6200.0, 3, 14, 0.3]
10,[(55.0267, 12.83906), 'Repair', 5400.0, 4, 11, 0.15]
11,[(55.007604954836, 12.854166328125), 'Electrics', 6300.0, 3, 12, 0.2]
12,[(54.99657776229, 12.861036074219), 'Hydraulics', 6200.0, 3, 14, 0.3]
13,[(54.978453606553, 12.852792910156), 'Blades', 38000.0, 10, 90, 0.05]
14,[(54.954800471265, 12.832196455078), 'Blades', 38000.0, 10, 90, 0.05]
15,[(54.97294, 12.77314), 'Blades', 38000.0, 10, 90, 0.05]
16,[(54.96427, 12.78276), 'Repair', 5400.0, 4, 11, 0.15]
17,[(54.95402, 12.79374), 'Electrics', 6300.0, 3, 12, 0.2]
18,[(54.965844506578, 12.843183037109), 'Electrics', 6300.0, 3, 12, 0.2]
19,[(55.0154759774, 12.841419873047), 'Electrics', 6300.0, 3, 12, 0.2]
20,[(54.97846, 12.873), 'Repair', 5400.0, 4, 11, 0.15]
21,[(54.95334, 12.46671), 0, 0, 0, 0, 0]
