Turbine, Location, Task, Cost, Duration, Size, Production
0,[(54.95334, 12.46671), 0, 0, 0, 0, 0]
1,[(55.028104301875, 12.779513291016), 'Electrics', 6300.0, 3, 12, 0.2]
2,[(55.016854418444, 12.77313), 'Hydraulics', 6200.0, 3, 14, 0.3]
3,[(55.003387032819, 12.77015), 'Electrics', 6300.0, 3, 12, 0.2]
4,[(54.99236, 12.77152), 'Repair', 5400.0, 4, 11, 0.15]
5,[(54.98211, 12.76328), 'Electrics', 6300.0, 3, 12, 0.2]
6,[(55.037750907567, 12.787749873047), 'Blades', 38000.0, 10, 90, 0.05]
7,[(55.042085465692, 12.814339746094), 'Repair', 5400.0, 4, 11, 0.15]
8,[(55.05109, 12.84455), 'Gearbox', 63500.0, 18, 32, 0.0]
9,[(55.03614, 12.84318), 'Hydraulics', 6200.0, 3, 14, 0.3]
10,[(55.0267, 12.83906), 'Repair', 5400.0, 4, 11, 0.15]
11,[(55.007604954836, 12.854166328125), 'Electrics', 6300.0, 3, 12, 0.2]
12,[(54.99657776229, 12.861036074219), 'Hydraulics', 6200.0, 3, 14, 0.3]
13,[(54.978453606553, 12.852792910156), 'Blades', 38000.0, 10, 90, 0.05]
14,[(54.954800471265, 12.832196455078), 'Blades', 38000.0, 10, 90, 0.05]
15,[(54.97294, 12.77314), 'Blades', 38000.0, 10, 90, 0.05]
16,[(54.96427, 12.78276), 'Repair', 5400.0, 4, 11, 0.15]
17,[(54.95402, 12.79374), 'Electrics', 6300.0, 3, 12, 0.2]
18,[(54.965844506578, 12.843183037109), 'Electrics', 6300.0, 3, 12, 0.2]
19,[(55.0154759774, 12.841419873047), 'Electrics', 6300.0, 3, 12, 0.2]
20,[(54.97846, 12.873), 'Repair', 5400.0, 4, 11, 0.15]
21,[(54.97136, 12.89497), 'Hydraulics', 6200.0, 3, 14, 0.3]
22,[(54.96348, 12.92107), 'Gearbox', 63500.0, 18, 32, 0.0]
23,[(54.95954, 12.86613), 'Gearbox', 63500.0, 18, 32, 0.0]
24,[(54.95875, 12.90047), 'Repair', 5400.0, 4, 11, 0.15]
25,[(55.063477578199, 12.889476835937), 'Repair', 5400.0, 4, 11, 0.15]
26,[(55.058763740502, 12.91008), 'Gearbox', 63500.0, 18, 32, 0.0]
27,[(55.071537446012, 12.923816582031), 'Hydraulics', 6200.0, 3, 14, 0.3]
28,[(55.076253426522, 12.958142910156), 'Electrics', 6300.0, 3, 12, 0.2]
29,[(55.082547509778, 12.986986074219), 'Electrics', 6300.0, 3, 12, 0.2]
30,[(55.088051808166, 13.011699492188), 'Repair', 5400.0, 4, 11, 0.15]
31,[(55.076254881589, 13.002086455078), 'Repair', 5400.0, 4, 11, 0.15]
32,[(55.08648, 13.03368), 'Electrics', 6300.0, 3, 12, 0.2]
33,[(55.0794, 13.04741), 'Gearbox', 63500.0, 18, 32, 0.0]
34,[(55.07154, 13.0172), 'Repair', 5400.0, 4, 11, 0.15]
35,[(55.06368, 12.95265), 'Repair', 5400.0, 4, 11, 0.15]
36,[(55.052660747975, 12.992476074219), 'Hydraulics', 6200.0, 3, 14, 0.3]
37,[(55.07154, 13.06938), 'Blades', 38000.0, 10, 90, 0.05]
38,[(55.06289, 13.0941), 'Repair', 5400.0, 4, 11, 0.15]
39,[(55.05424, 13.11745), 'Electrics', 6300.0, 3, 12, 0.2]
40,[(55.044796815323, 13.133930380859), 'Electrics', 6300.0, 3, 12, 0.2]
41,[(55.03761858663, 13.149030126953), 'Repair', 5400.0, 4, 11, 0.15]
42,[(55.0329, 13.16414), 'Repair', 5400.0, 4, 11, 0.15]
43,[(55.02817, 13.17924), 'Electrics', 6300.0, 3, 12, 0.2]
44,[(55.02109, 13.19984), 'Hydraulics', 6200.0, 3, 14, 0.3]
45,[(55.01715, 13.21358), 'Electrics', 6300.0, 3, 12, 0.2]
46,[(55.00613, 13.20122), 'Hydraulics', 6200.0, 3, 14, 0.3]
47,[(54.9951, 13.18748), 'Electrics', 6300.0, 3, 12, 0.2]
48,[(54.98328, 13.16963), 'Repair', 5400.0, 4, 11, 0.15]
49,[(54.97934, 13.14629), 'Electrics', 6300.0, 3, 12, 0.2]
50,[(54.9754, 13.12019), 'Repair', 5400.0, 4, 11, 0.15]
51,[(54.95334, 12.46671), 0, 0, 0, 0, 0]
